dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p5.2.o.txt,0,74007,66,2,37.5,940.0,995.0,5.527638190954774,0,0.10389949999989767,20,12,12,8,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.o.txt,1,74008,66,2,37.5,995.0,995.0,0.0,1,0.10607179999988148,20,17,17,3,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.p.txt,0,75007,66,2,40.0,1150.0,1150.0,0.0,1,0.12480819999927917,20,15,15,5,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.p.txt,1,75008,66,2,40.0,1060.0,1150.0,7.82608695652174,0,0.11250990000007732,20,5,5,15,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.q.txt,0,76007,66,2,42.5,1140.0,1140.0,0.0,1,0.09801950000019133,20,2,2,18,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.q.txt,1,76008,66,2,42.5,1125.0,1140.0,1.3157894736842104,0,0.10781240000051184,20,15,15,5,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.r.txt,0,77007,66,2,45.0,1250.0,1250.0,0.0,1,0.10483380000005127,20,9,9,11,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.r.txt,1,77008,66,2,45.0,1245.0,1250.0,0.4,0,0.10991349999949307,20,18,18,2,3,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.s.txt,0,78007,66,2,47.5,1295.0,1310.0,1.1450381679389312,0,0.11798590000034892,20,19,19,1,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.s.txt,1,78008,66,2,47.5,1310.0,1310.0,0.0,1,0.11330379999981233,20,13,13,7,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.t.txt,0,79007,66,2,50.0,1335.0,1390.0,3.9568345323741005,0,0.12324079999962123,20,4,4,16,0,1,N/A (ILS),N/A (ILS),ok
