dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p5.3.h.txt,66,3,1,230.0,230.0,230.0,0.0,0.8003051000014239,0.8003051000014239,8.0,129399.0,100.0,0.0,0.0
chao,p5.3.i.txt,66,3,1,255.0,255.0,255.0,0.0,0.6068046000000322,0.6068046000000322,4.0,53184.0,100.0,0.0,0.0
chao,p5.3.j.txt,66,3,1,380.0,380.0,380.0,0.0,1.3217508000016096,1.3217508000016096,7.0,150685.0,100.0,0.0,0.0
chao,p5.3.k.txt,66,3,1,385.0,385.0,385.0,0.0,1.7800707999995211,1.7800707999995211,8.0,208792.0,100.0,0.0,0.0
chao,p5.3.l.txt,66,3,1,460.0,460.0,460.0,0.0,2.122019399997953,2.122019399997953,8.0,321036.0,100.0,0.0,0.0
chao,p5.3.m.txt,66,3,1,510.0,510.0,510.0,0.0,2.469236799999635,2.469236799999635,8.0,330995.0,100.0,0.0,0.0
chao,p5.3.n.txt,66,3,1,755.0,755.0,755.0,0.0,2.5887643000023672,2.5887643000023672,8.0,416454.0,100.0,0.0,0.0
chao,p5.3.o.txt,66,3,1,630.0,630.0,630.0,0.0,2.7627164000004996,2.7627164000004996,8.0,482478.0,100.0,0.0,0.0
chao,p5.3.p.txt,66,3,1,650.0,650.0,650.0,0.0,2.9056416999992507,2.9056416999992507,8.0,551140.0,100.0,0.0,0.0
chao,p5.3.q.txt,66,3,1,720.0,720.0,720.0,0.0,3.0000737000009394,3.0000737000009394,8.0,642406.0,100.0,0.0,0.0
chao,p5.3.r.txt,66,3,1,770.0,770.0,770.0,0.0,3.1139542999990226,3.1139542999990226,8.0,688632.0,100.0,0.0,0.0
chao,p5.3.s.txt,66,3,1,1140.0,1140.0,1140.0,0.0,3.057300299999042,3.057300299999042,8.0,694624.0,100.0,0.0,0.0
chao,p5.3.t.txt,66,3,1,870.0,870.0,870.0,0.0,3.228524899997865,3.228524899997865,8.0,716800.0,100.0,0.0,0.0
chao,p5.3.u.txt,66,3,1,1220.0,1220.0,1220.0,0.0,3.145098200002394,3.145098200002394,8.0,720160.0,100.0,0.0,0.0
chao,p5.3.v.txt,66,3,1,1240.0,1240.0,1240.0,0.0,3.15190640000219,3.15190640000219,8.0,720160.0,100.0,0.0,0.0
chao,p5.3.w.txt,66,3,1,900.0,900.0,900.0,0.0,3.2007126999997126,3.2007126999997126,8.0,720160.0,100.0,0.0,0.0
chao,p5.3.x.txt,66,3,1,1240.0,1240.0,1240.0,0.0,3.116225999998278,3.116225999998278,8.0,720160.0,100.0,0.0,0.0
